Project,Requirement Number,Requirement Name,Requirement Description,Verification Method,cat1,Verification Status,TPM,Deviations-Waivers,Requirement Type,Pending Requirement Changes
ICBM,RCC-001,Flight Termination Dispersion,"Ensure the monoprop  flight-terminated vehicle’s debris impact, resulting from residual lift or drift under worst-case wind conditions, will not endanger any protected area. When termination is initiated, it shall be irrevocable.",Demo;,Blk I,Open,TPM-1,DR1,ICD,ECP123
ICBM,RCC-002,FTS Functional Requirements/2,Render each propulsion system that has the capability of reaching a protected area incapable of propulsion. This includes each stage and any strap-on motor or propulsion system that is part of any payload.,Demonstration,Blk I,Open,TPM-1,DR2,ICD,ECP124
ICBM,RCC-003,FTS Functional Requirements/3,Terminate the flight of any inadvertently or prematurely separated propulsion system capable of reaching a protected area.,Demonstration,Blk I,Open,TPM-1,DR3,ICD,ECP125
ICBM,RCC-004,FTS Functional Requirements/4,Destroy the pressure integrity of any solid-propellant system and terminate all thrust or ensure that any residual thrust causes the propulsion system to tumble without significant lateral or longitudinal deviation in the impact point.,Demonstration,Blk I,Open,TPM-1,DR4,ICD,ECP126
ICBM,RCC-005,FTS Functional Requirements/5,"Disperse any liquid propellant, whether by rupturing the propellant tank or other equivalent method. Shutdown and/or parachute systems may be used in lieu of rupturing propellant tanks if the risk posed by an intact impact is acceptable. Acceptability of shutdown-only systems will be range- and vehicle-dependent.",Demonstration,Blk I,Open,TPM-1,DR5,ICD,ECP127
ICBM,RCC-006,FTS Functional Requirements/6,Result in aerodynamic control surface manipulation that makes a vehicle unable to glide or auto-rotate. These types of termination systems shall demonstrate that any residual lift or drift under worst-case wind conditions will not result in the flight-terminated vehicle endangering any protected area.,Analysis,Blk I,Closed,TPM-1,DR6,ICD,ECP128
ICBM,RCC-007,FTS Functional Requirements/7,The FTS terminate action shall not detonate solid or liquid propellant.,Demonstration,Blk I,Closed,TPM-1,DR7,ICD,ECP129
ICBM,RCC-008,FTS Functional Requirements/8,The termination action shall ensure that solid rocket motor propellant is fractured into small enough fragments to prevent unacceptable personnel risks due to blast effects upon ground detonation.,Demonstration,Blk I,Closed,TPM-1,DR8,ICD,ECP130
ICBM,RCC-009,FTS Functional Requirements/9,"For multiple-stage vehicles, the flight termination of one propulsion system shall not interfere with the flight termination of any other propulsion system.",Demonstration,Blk I,Closed,TPM-1,DR9,ICD,ECP131
ICBM,RCC-010,FTS Functional Requirements/10,"An FTS determination analysis shall be performed for payloads and upper stages of expendable launch vehicles during ascent. It will determine whether an FTS, and what type of flight termination action, is required on any stage of an RV for the ascent and re-entry phases of flight.",Demonstration,Blk I,Closed,TPM-1,DR10,ICD,ECP132
ICBM,RCC-011,FTS Functional Requirements/11,"For re-entry, the RV will be required to have an FTS designed with the purpose of placing the vehicle into a zero-lift/zero-thrust ballistic re-entry state and mitigate the consequences of any impact to the maximum extent practicable. Consequence mitigation may include dispersing large quantities of liquid propellants if on board, fragmenting solid propellants to eliminate or mitigate explosive potential on impact, and breaking up components to maximize aero-thermal demise.",Demonstration,Blk I,Closed,TPM-1,DR11,ICD,ECP133
F16,RCC-012,FTS Functional Requirements/12,"A TM, autonomous, or other system shall be designed to provide verification to Range Safety that vehicle range safety requirements are met so that it is safe to proceed with the re-entry phase of flight. This TM shall include any data needed to indicate whether any RV system critical to safe re-entry and landing is no longer capable of functioning such that it poses an unacceptable risk to the public. (This data will be used to decide whether re-entry should or should not be initiated or be planned and executed so that the RV will impact in the safest possible area.)",Demonstration,Blk I,Open,TPM-1,DR12,ICD,ECP134
F16,RCC-013,FTS Functional Requirements/13,"A TM, autonomous, or other system shall be designed to provide verification to Range Safety that the re-entry FTS has been enabled. (This verification is required prior to allowing the initiation of re-entry.)",Inspection,Blk I,Open,TPM-1,DR13,ICD,ECP135
F16,RCC-014,FTS Functional Requirements/14,All FTSs that employ explosives or other hazardous systems must have a safe-and-arm (S&A) device (SAD) that can be placed in the safe position and its status verified for mission periods when it is not needed and after landing.,Inspection,Blk I,Open,TPM-1,DR14,ICD,ECP136
F16,RCC-015,FTS Functional Requirements/15,An RV that could return with a payload (either intentionally or unintentionally) shall be evaluated for the need for a payload FTS.,Inspection,Blk I,Open,TPM-1,DR15,ICD,ECP137
F16,RCC-016,FTS Functional Requirements/16,"Any FTS components intended to be reused from flight to flight shall be designed to withstand the intended number of mission cycles and environments, plus margin, and still meet its performance requirements.",Analysis,Blk I,Open,TPM-1,DR16,ICD,ECP138
F16,RCC-017,FTS Functional Requirements/17,The number of FTS components and piece-parts shall be kept to an absolute minimum.,Demonstration,Blk I,Open,TPM-1,DR17,ICD,ECP139
F16,RCC-018,FTS Functional Requirements/18,The Terminate command output signal from the flight termination receiver (FTR) shall be designed to go directly to FTS arming devices.,Inspection,Blk I,Open,TPM-1,DR18,ICD,ECP140
F16,RCC-019,FTS Functional Requirements/19,"The reliability requirement will be considered met through compliance with this document, which incorporates the following:",Inspection,Blk I,Open,TPM-1,DR19,Performance,ECP141
